SourceFile,GPSLongitude,GPSLatitude,GPSAltitude,DateTimeOriginal
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0001.JPG,145.780527805556,-17.0983261944444,184.791,2023:05:23 16:15:24
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0002.JPG,145.780450111111,-17.0984738055556,184.732,2023:05:23 16:15:28
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0003.JPG,145.780387333333,-17.0986219444444,184.684,2023:05:23 16:15:32
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0004.JPG,145.780323305556,-17.0987727777778,184.753,2023:05:23 16:15:35
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0005.JPG,145.780262777778,-17.0989323055556,184.726,2023:05:23 16:15:39
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0006.JPG,145.780228972222,-17.0990165,184.76,2023:05:23 16:15:41
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0007.JPG,145.780147944444,-17.0991580833333,184.747,2023:05:23 16:15:45
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0008.JPG,145.780068777778,-17.0992992777778,184.851,2023:05:23 16:15:48
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0009.JPG,145.7799835,-17.0994380555556,184.813,2023:05:23 16:15:52
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0010.JPG,145.779957583333,-17.0994807777778,184.774,2023:05:23 16:15:53
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0011.JPG,145.779874638889,-17.0996099166667,184.686,2023:05:23 16:15:56
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0012.JPG,145.779834055556,-17.09967075,184.702,2023:05:23 16:15:58
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0013.JPG,145.779730666667,-17.0997993333333,184.734,2023:05:23 16:16:02
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0014.JPG,145.779698888889,-17.0998369444444,184.743,2023:05:23 16:16:03
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0015.JPG,145.779584027778,-17.0999487222222,184.764,2023:05:23 16:16:06
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0016.JPG,145.779467805556,-17.1000656111111,184.696,2023:05:23 16:16:10
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0017.JPG,145.779434388889,-17.1000991388889,184.689,2023:05:23 16:16:11
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0018.JPG,145.779318388889,-17.1002111666667,184.699,2023:05:23 16:16:14
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0019.JPG,145.779200138889,-17.1003259444444,184.691,2023:05:23 16:16:18
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0020.JPG,145.779130305556,-17.1003947222222,184.722,2023:05:23 16:16:20
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0021.JPG,145.779018222222,-17.1005164444444,184.684,2023:05:23 16:16:24
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0022.JPG,145.778949305556,-17.1005903888889,184.712,2023:05:23 16:16:26
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0023.JPG,145.778836083333,-17.100705,184.768,2023:05:23 16:16:29
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0024.JPG,145.778732833333,-17.1007821111111,184.755,2023:05:23 16:16:33
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0025.JPG,145.77884875,-17.10092075,184.679,2023:05:23 16:16:37
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0026.JPG,145.778933694444,-17.10101425,184.723,2023:05:23 16:16:41
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0027.JPG,145.779072277778,-17.1009064722222,184.76,2023:05:23 16:16:45
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0028.JPG,145.779186388889,-17.1007876666667,184.765,2023:05:23 16:16:48
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0029.JPG,145.779219916667,-17.1007526944444,184.776,2023:05:23 16:16:50
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0030.JPG,145.779316611111,-17.1006480277778,184.747,2023:05:23 16:16:53
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0031.JPG,145.779386777778,-17.1005766666667,184.74,2023:05:23 16:16:55
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0032.JPG,145.779506083333,-17.1004623055556,184.705,2023:05:23 16:16:58
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0033.JPG,145.779623666667,-17.1003460555556,184.73,2023:05:23 16:17:02
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0034.JPG,145.779687944444,-17.1002825277778,184.717,2023:05:23 16:17:04
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0035.JPG,145.779805361111,-17.1001657222222,184.694,2023:05:23 16:17:08
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0036.JPG,145.77992225,-17.1000487222222,184.701,2023:05:23 16:17:11
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0037.JPG,145.779965583333,-17.1000046944444,184.703,2023:05:23 16:17:13
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0038.JPG,145.780066,-17.0998751111111,184.732,2023:05:23 16:17:16
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0039.JPG,145.780115444444,-17.0998084722222,184.751,2023:05:23 16:17:18
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0040.JPG,145.78020225,-17.0996705,184.711,2023:05:23 16:17:21
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0041.JPG,145.780249416667,-17.09959575,184.685,2023:05:23 16:17:23
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0042.JPG,145.780335333333,-17.0994563888889,184.735,2023:05:23 16:17:27
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0043.JPG,145.780360694444,-17.0994152222222,184.747,2023:05:23 16:17:28
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0044.JPG,145.780440527778,-17.0992727222222,184.767,2023:05:23 16:17:32
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0045.JPG,145.780520833333,-17.099132,184.78,2023:05:23 16:17:35
